Equipment,Description,Location,Cost Center,Planning plant,ManufSerialNo.,Acquistion date,Room,Sort field
220052064,GC20Mi-63 Cam Grinder,HON,22HON11418,2220,RF-7432,,,PLANT 2 2017
220054005,Okamoto ACC6-18DX2 Surface Grinder,,,,43166,,,
220056001,CENTERLESS GRINDER,GMC,22GMC11415,2220,9166A0196-0021,07/30/2012,,WAREHOUSE 2017
220056009,Unused -  Rename When Needed,HON,22HON11416,2220,UA4930,,,N/A
220059004,LAPPING MACHINE,DCX,22DCX11403,2220,02246,02/01/2006,,PLANT 2 2017
220059005,GBQ-740 MICRO FINISHER,HYC,22DCX11404,2220,F8131,,,PLANT 2 2017
220059006,LAPPER,HON,22HON11413,2220,1704S2394A,,,WAREHOUSE 2017
220059007,LAPPER,FRD,22FRD11425,2220,F6148,,,PLANT 2 2017
220059008,NACHI LAPPING MACHINE,FRD,22FRD11429,2220,F620970,08/01/2013,,PLANT 2 2017
220059009,UNI JOURNAL LAPPING,HON,22HON11416,2220,UA4930,,,PLANT 2 2017
220059010,NACHI LAPPING MACHINE,FRD,22FRD11424,2220,F6221,,,PLANT 2 2017
220059011,Sanshin Lapper M/C,HON,22HON11437,2220,1532,,,PLANT 2 2017
220059012,Sanshin Lapper M/C,HON,22HON11418,2220,1566,,,PLANT 2 2017
220061001,MASSE PRES (1500T),FOR,22FOR11300,2210,MHFP1500-LW,05/01/2001,,PLANT 1 2017
220061002,SHEARING,FOR,22FOR11300,2210,DLB300-MN-114-E0,06/01/2001,,PLANT 1 2017
220061003,BPF-560SSL,HDR,22HDR11305,2210,10000646 (HEADER PRESS),05/01/2004,,PLANT 1 2017
220061004,Plug Press,HDR,22HDR11600,2210,,,,PLANT 1 2017
220061005,400T PRESS,F12,22F1211304,2210,,,,PLANT 1 2017
220061006,200T PRESS,F24,22F2411308,2210,,,,PLANT 1 2017
220061007,400T PRESS,F24,22F2411309,2210,,,,PLANT 1 2017
220061008,110T PRESS ZF,F12,22F1211304,2210,,,,PLANT 1 2017
220061009,1200T PRESS ZF,F12,22F1211304,2210,,,,PLANT 1 2017
220061046,MSI-109,HSG,22HSG11291,2210,0714S1360A(AK-9595),04/01/2001,,SCRAP BEFORE SAP
220062001,BUSH PRESS,ASY,22ASY11150,2210,0572S0998A,05/01/1998,,PLANT 1 2017
220062002,BUSH PRESS,ASY,22ASY11150,2210,0573S0999A,05/01/1998,,PLANT 1 2017
220062003,BUSH PRESS,ASY,22ASY11150,2210,0571S0997A,05/01/1998,,PLANT 1 2017
220062005,MSI-122,ASY,22ASY11170,2210,0154S0491-E-1,07/01/1998,,PLANT 1 2017
220062006,BUSH PRESS,ASY,22ASY11120,2210,PB1,05/01/1998,,PLANT 1 2017
220062007,BUSH PRESS,ASY,22ASY11141,2210,PB2,05/01/1998,,SCRAP BEFORE SAP
220062008,MSI-119,ASY,22ASY11150,2210,0451S0844-E001,08/01/2000,,PLANT 1 2017
220062009,MSI-119,ASY,22ASY11110,2210,0451S0844-E001,08/01/2000,,PLANT 1 2017
220062010,MSI-109,HSG,22HSG11292,2210,0878S1357A,04/01/2001,,SCRAP BEFORE SAP
220062011,Bushing Press,ASY,22ASY11150,2210,,,,PLANT 1 2017
220062012,MSI-119,ASY,22ASY11380,2210,0571S1560A,03/01/2002,,PLANT 1 2017
220062013,CA BOLT,ASY,22ASY11380,2210,55001-BP-CP,06/01/2006,,PLANT 1 2017
220062014,STOPPER PRESS-S LINE,ASY,22ASY11380,2210,,01/01/2006,,WAREHOUSE 2017
220062015,BUSHING PRESS S LINE,ASY,22ASY11380,2210,,01/01/2006,,PLANT 1 2017
220062016,COMPLIANCE BUSHING PRESS - S LINE,ASY,22ASY11380,2210,,01/01/2006,,PLANT 1 2017
220062017,NSX MANUAL LINE,ASY,22ASY11180,2210,,,,PLANT 1 2017
220062018,NSX FORMING PRESS STATION,ASY,22ASY11180,2210,,,,PLANT 1 2017
220062019,Bushing Press - NSX,ASY,22ASY11180,2210,,,,PLANT 1 2017
220062020,Boot Assembly - NSX,ASY,22ASY11180,2210,,,,PLANT 1 2017
220062021,CATS PAW PIN PRESS-MAPC,ASY,22ASY11141,2210,,,,PLANT 1 2017
220062022,Housing Press - F Line,ASY,22ASY11120,2210,,,,PLANT 1 2017
220062023,Seat & Stud,ASY,22ASY11120,2210,,,,PLANT 1 2017
220062024,Plug Stamp - F Line,ASY,22ASY11120,2210,,,,PLANT 1 2017
220062025,F LINE CAULKING STATION,ASY,22ASY11120,2210,,,,PLANT 1 2017
220062026,Circlip Station - F line,ASY,22ASY11120,2210,,,,PLANT 1 2017
220062027,Date Stamp - Manual Service Line,ASY,22ASY11150,2210,,,,
220062132,Caulking Station,ASY,22ASY11150,2210,,,,PLANT 1 2017
220065002,KINEFAC DUAL THREAD ROLLER/BURNISHER,STD,22STD11256,2210,1529,09/01/2012,,PLANT 1 2017
220065003,THREADROLLER,STD,22STD11257,2210,,,,PLANT 1 2017
220065005,BURNISHER,STD,22STD11240,2210,T-ROL 15(4726),11/01/2000,,PLANT 1 2017
220065006,THREAD ROLLER,STD,22STD11240,2210,T-ROL 15(4855),11/01/2000,,PLANT 1 2017
220065012,THREAD ROLLER,STD,22STD11220,2210,R15A(9018),12/01/1999,,PLANT 1 2017
220065019,BURNISHER,STD,22STD11230,2210,R15A(8441),12/01/1999,,PLANT 1 2017
220065020,BURNISHER,STD,22STD11220,2210,R15A(8442),12/01/1999,,PLANT 1 2017
220065024,THREAD ROLLER,STD,22STD11244,2210,R15A8440 BH0065,09/01/2004,,WAREHOUSE 2017
220065027,THREAD ROLLER,STD,22STD11230,2210,R15A(8514),12/01/1999,,PLANT 1 2017
220065040,THREAD ROLLER,STD,22STD11280,2210,T-ROL15D(576),03/01/2004,,PLANT 1 2017
220065041,BURNISHER,STD,22STD11241,2210,8823(1258S1870A),03/01/2004,,PLANT 1 2017
220065042,THREAD ROLLER,STD,22STD11241,2210,8555(1259S1871A-1),03/01/2004,,PLANT 1 2017
220065043,BURNISHER,STD,22STD11253,2210,T-ROLL(4845),07/01/2004,,PLANT 1 2017
220065044,THREAD ROLLER,STD,22STD11242,2210,T-ROLL,07/01/2004,,SCRAP BEFORE SAP
